t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
15.2333,0.2629,0.3643,0.1674,0.1806,0,0
15.2667,0.2630,0.3650,0.1671,0.1801,0,0
15.3000,0.2601,0.3633,0.1643,0.1774,0,0
15.3333,0.2582,0.3628,0.1620,0.1750,0,0
15.3667,0.2589,0.3636,0.1607,0.1740,0,0
15.4000,0.2590,0.3632,0.1605,0.1736,0,0
15.4333,0.2590,0.3628,0.1608,0.1737,0,0
15.4667,0.2593,0.3617,0.1618,0.1742,0,0
15.5000,0.2600,0.3612,0.1624,0.1747,0,0
15.5333,0.2588,0.3601,0.1609,0.1737,0,0
15.5667,0.2566,0.3583,0.1597,0.1724,0,0
15.6000,0.2557,0.3574,0.1588,0.1716,0,0
15.6333,0.2562,0.3578,0.1585,0.1714,0,0
15.6667,0.2554,0.3570,0.1579,0.1705,0,0
15.7000,0.2541,0.3561,0.1571,0.1698,0,0
15.7333,0.2524,0.3550,0.1562,0.1689,0,0
15.7667,0.2514,0.3541,0.1556,0.1684,0,0
15.8000,0.2505,0.3531,0.1551,0.1679,0,0
15.8333,0.2494,0.3514,0.1555,0.1681,0,0
15.8667,0.2493,0.3513,0.1545,0.1674,0,0
15.9000,0.2492,0.3511,0.1541,0.1669,0,0
15.9333,0.2498,0.3514,0.1540,0.1668,0,0
15.9667,0.2500,0.3515,0.1537,0.1666,0,0
16.0000,0.2501,0.3510,0.1532,0.1660,0,0
16.0333,0.2506,0.3510,0.1530,0.1658,0,0
16.0667,0.2505,0.3507,0.1528,0.1656,0,0
16.1000,0.2490,0.3497,0.1521,0.1650,0,0
16.1333,0.2493,0.3497,0.1518,0.1647,0,0
16.1667,0.2494,0.3494,0.1510,0.1642,0,0
16.2000,0.2486,0.3489,0.1506,0.1637,0,0
16.2333,0.2481,0.3466,0.1512,0.1639,0,0
16.2667,0.2494,0.3467,0.1516,0.1642,0,0
16.3000,0.2505,0.3471,0.1519,0.1647,0,0
16.3333,0.2513,0.3479,0.1529,0.1654,0,0
16.3667,0.2514,0.3499,0.1536,0.1660,0,0
16.4000,0.2550,0.3554,0.1545,0.1673,0,0
16.4333,0.2588,0.3572,0.1565,0.1690,0,0
16.4667,0.2661,0.3625,0.1603,0.1726,0,0
16.5000,0.2708,0.3698,0.1635,0.1755,0,0
16.5333,0.2769,0.3745,0.1662,0.1778,0,0
16.5667,0.2857,0.3833,0.1694,0.1805,0,0
16.6000,0.2930,0.3892,0.1731,0.1836,0,0
16.6333,0.3007,0.3976,0.1779,0.1882,0,0
16.6667,0.3102,0.4041,0.1840,0.1937,0,0
16.7000,0.3157,0.4069,0.1885,0.1977,0,0
16.7333,0.3179,0.4084,0.1899,0.1990,0,0
16.7667,0.3221,0.4112,0.1927,0.2016,0,0
