t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
14.9000,0.2133,0.5156,0.2537,0.2365,0,0
14.9167,0.1943,0.5067,0.2573,0.2419,0,0
14.9333,0.1873,0.4913,0.2547,0.2393,0,0
14.9500,0.1716,0.4846,0.2582,0.2428,0,0
14.9667,0.1183,0.4637,0.2665,0.2554,0,0
14.9833,0.0577,0.4396,0.2699,0.2638,0,0
15.0000,0.0235,0.4208,0.2691,0.2654,0,0
15.0167,0.0183,0.4200,0.2695,0.2659,0,0
15.0333,0.0202,0.4287,0.2709,0.2676,0,0
15.0500,0.0000,0.4264,0.2741,0.2692,1,0
15.0667,0.0223,0.4490,0.2753,0.2707,0,0
15.0833,0.0722,0.4745,0.2747,0.2688,0,0
15.1000,0.1472,0.5007,0.2679,0.2581,0,0
15.1167,0.2119,0.5233,0.2587,0.2463,0,0
15.1333,0.2026,0.5310,0.2418,0.2242,0,0
15.1500,0.1863,0.5361,0.2036,0.1792,0,0
15.1667,0.2043,0.5412,0.2401,0.2224,0,0
15.1833,0.2094,0.5393,0.2434,0.2232,0,0
15.2000,0.2172,0.5445,0.2399,0.2186,0,0
15.2167,0.2476,0.5406,0.2540,0.2340,0,0
15.2333,0.2453,0.5474,0.2555,0.2351,0,0
15.2500,0.1914,0.5452,0.2706,0.2544,0,0
